Player/Position,Player,Position,Season ,Team,Draw WAR,EV Shoot WAR,EV TOI,EVD WAR,EVO WAR,Pens WAR,PP Shoot WAR,PP TOI,PPO WAR,Season,SH Shoot WAR,SH TOI,SHD WAR,Take WAR,TOI,WAR
NINO NIEDERREITERF,NINO NIEDERREITER,F,mistake,CAR,-0.082633265,0.749618304,976.316666667,-0.088927374,1.505509664,0.301195344,0.225430666,109.166666667,0.024173658,20212022,0,0.4,-5.144610235e-05,0.383828609,1085.883333333,2.716948816
J.T. MILLERF,J.T. MILLER,F,mistake,VAN,-0.214281866,1.295308129,1203.133333333,-0.102876984,1.024595664,0.020147291,0.539084001,254.333333333,0.368362126,20212022,-0.167999644,164.783333333,-0.293820800,0.234429157,1622.250000000,2.682799783
RYAN JOHANSENF,RYAN JOHANSEN,F,mistake,NSH,-0.352293980,1.672099069,988.633333333,-0.146421571,-0.055589434,-0.518559073,1.171855898,238.583333333,0.536650806,20212022,-0.000366483,14.966666667,0.007893084,-0.166265093,1242.183333333,2.667562297
NOAH HANIFIND,NOAH HANIFIN,D,mistake,CGY,-0.093037399,0.393658821,1392.983333333,0.719796278,0.415769346,0.524534731,-0.060074781,148.966666667,0.306795753,20212022,-0.015674328,151.316666667,0.382496361,0.617572130,1693.266666667,2.667302181
MASON MARCHMENTF,MASON MARCHMENT,F,mistake,FLA,0.394492610,0.808392495,700.650000000,0.584277874,0.976013688,0.214187627,-0.018303905,46.683333333,0.085669168,20212022,0,1.516666667,-0.001203184,-0.180304983,748.850000000,2.649033764
JAKE DEBRUSKF,JAKE DEBRUSK,F,mistake,BOS,0.006038223,1.441535319,982.266666667,-0.149874343,0.837244554,0.452867178,0.029705967,100.816666667,0.040061531,20212022,-0.034021840,48.250000000,0.025946911,0.446828955,1131.333333333,2.643465277
BRANDON HAGELF,BRANDON HAGEL,F,mistake,CHI/T.B,0.101490281,1.524799762,1013.983333333,-0.293530635,0.540850781,0.419048488,0.440150324,111.716666667,-0.109252133,20212022,-0.043008438,109.6,0.138442695,0.317558208,1235.3,2.617500844
MARK SCHEIFELEF,MARK SCHEIFELE,F,mistake,WPG,0.039345852,1.907828811,1133.466666667,-1.439924728,0.788799157,0.578671474,0.457394143,224.6,0.301807954,20212022,0,5.116666667,0.001275372,0.539325621,1363.183333333,2.595852183
DYLAN STROMEF,DYLAN STROME,F,mistake,CHI,-0.242400634,1.553821389,988.733333333,0.124547612,0.556846376,-0.070749540,0.422799380,185.416666667,-0.009768911,20212022,0,1.65,0.000211423,0.171651093,1175.8,2.577707729
DEVON TOEWSD,DEVON TOEWS,D,mistake,COL,-0.247592344,0.639969099,1326.433333333,0.906887320,0.422474235,0.254250771,0.200279015,113.183333333,0.033628765,20212022,-0.052183683,175.35,0.153941437,0.501843115,1614.966666667,2.559246958
CONOR GARLANDF,CONOR GARLAND,F,mistake,VAN,0.405655860,0.658207947,1107.466666667,0.406981075,0.940060101,0.793915096,-0.088487831,116.6,-0.158590539,20212022,0,3.516666667,0.000910278,0.388259236,1227.583333333,2.552996127
NIKOLAJ EHLERSF,NIKOLAJ EHLERS,F,mistake,WPG,0.327840416,1.372150681,931.716666667,-0.691157779,1.236046012,0.586790176,-0.176555037,130.8,0.193716892,20212022,0,1.366666667,0.000137397,0.258949760,1063.883333333,2.521128343
DMITRY ORLOVD,DMITRY ORLOV,D,mistake,WSH,0.146068933,1.047145808,1411.583333333,0.612734693,0.385469400,0.233673059,0.141106067,73.033333333,-0.079502121,20212022,-0.009390223,55.133333333,0.142572658,0.087604126,1539.75,2.473809341
NICK SCHMALTZF,NICK SCHMALTZ,F,mistake,ARI,-0.209469988,1.269047597,933.6,-0.041805036,0.773793141,0.152106380,0.308520345,148.033333333,0.021143607,20212022,-0.028994892,31.466666667,-0.012383302,0.361576367,1113.1,2.441427841
EVGENI MALKINF,EVGENI MALKIN,F,mistake,PIT,-0.008542277,0.771127405,580.333333333,-0.225650658,0.679954943,0.063480223,0.826672417,149.833333333,0.325755231,20212022,0,0.366666667,-6.349964467e-06,0.072022500,730.533333333,2.441333210
GABRIEL LANDESKOGF,GABRIEL LANDESKOG,F,mistake,COL,-0.145613246,1.431646937,788.000000000,0.412123119,-0.062974440,-0.264870166,0.191785819,199.95,0.707982821,20212022,0,3.566666667,-9.772418728e-05,-0.119256920,991.516666667,2.415596366
CARTER VERHAEGHEF,CARTER VERHAEGHE,F,mistake,FLA,-0.115260926,1.301143819,1107.183333333,0.034756223,1.725042033,-0.331797256,-0.197354809,87.75,-0.107119936,20212022,-0.019833998,24.5,-0.008028390,-0.216536330,1219.433333333,2.396807686
MARCUS FOLIGNOF,MARCUS FOLIGNO,F,mistake,MIN,-0.331791602,1.299509075,904.483333333,0.750357933,0.228232901,-0.239860326,0.724138278,125.65,-0.347536844,20212022,-0.018264715,137.300000000,-0.011174139,0.091931276,1167.433333333,2.385402163
JONATHAN MARCHESSAULTF,JONATHAN MARCHESSAULT,F,mistake,VGK,-0.412225768,0.843829423,1124.55,0.035785538,1.071409278,-0.141901044,0.111792179,159.75,0.449757801,20212022,0,0.566666667,8.424740299e-06,0.270324724,1284.866666667,2.370681599
NAZEM KADRIF,NAZEM KADRI,F,mistake,COL,0.403936787,0.794138839,1001.8,0.196863332,0.782781669,0.421429349,-0.354607309,266.95,0.556374184,20212022,-0.033149929,33.533333333,-0.010677951,0.017492562,1302.283333333,2.353152184
ILYA MIKHEYEVF,ILYA MIKHEYEV,F,mistake,TOR,-0.151003988,0.465277105,655.1,0.301982064,0.534513665,0.103019139,0.503629436,58.616666667,-0.001920446,20212022,0.378148758,73.783333333,0.060244718,0.254023127,787.5,2.344894438
ANTHONY CIRELLIF,ANTHONY CIRELLI,F,mistake,T.B,0.401191878,0.013130141,1086.983333333,1.036515143,0.255396511,0.784629304,0.189729281,107.583333333,0.205570393,20212022,0.005799798,158.216666667,-0.163485608,0.383437427,1352.783333333,2.327284962
JAKE GUENTZELF,JAKE GUENTZEL,F,mistake,PIT,0.199797955,1.404510538,1207.266666667,-1.193208163,1.747121179,0.315085970,-0.421268726,264.800000000,0.464035036,20212022,0,4.616666667,0.000189443,0.115288015,1476.683333333,2.316465277
NOAH DOBSOND,NOAH DOBSON,D,mistake,NYI,0.300628519,0.801532727,1415.266666667,-0.025625855,0.255046910,0.870576327,0.185907022,205.633333333,0.181992307,20212022,-0.000654910,52.916666667,0.046833169,0.569947807,1673.816666667,2.315607697
CHAD RUHWEDELD,CHAD RUHWEDEL,D,mistake,PIT,0.044234795,0.194079877,1056.166666667,0.965284533,0.352733565,0.476039597,0,0.45,0.000219047,20212022,-0.001842703,134.933333333,0.306737070,0.431804802,1191.550000000,2.293250987
MICHAEL BUNTINGF,MICHAEL BUNTING,F,mistake,TOR,0.572510171,0.816012606,1093.316666667,0.044682632,0.839889908,0.605207833,-0.103193225,101.883333333,0.059743072,20212022,0,0.400000000,-2.861201366e-05,0.032697662,1195.6,2.262314214
YANNI GOURDEF,YANNI GOURDE,F,mistake,SEA,-0.081356665,0.900910200,1042.083333333,0.382432120,0.549396091,0.233697179,0.057107614,140.933333333,-0.010777849,20212022,0.127619989,114.716666667,0.017763202,0.315053844,1297.733333333,2.258148546
TOMAS HERTLF,TOMAS HERTL,F,mistake,S.J,-0.337998957,1.487151936,1246.7,-0.242853512,0.822541934,0.130907023,0.042066076,200.516666667,0.265186742,20212022,-0.207213242,124.883333333,-0.058953556,0.468905979,1572.1,2.238833400
RYAN O'REILLYF,RYAN O'REILLY,F,mistake,STL,0.114610358,-0.047007060,1082.500000000,0.676778933,-0.059689024,0.763403783,0.590700640,200.05,0.556050678,20212022,-0.156931833,142.05,-0.105345021,0.648793425,1424.600000000,2.217961096
