Player/Position,Player,Position,Season ,Team,Draw WAR,EV Shoot WAR,EV TOI,EVD WAR,EVO WAR,Pens WAR,PP Shoot WAR,PP TOI,PPO WAR,Season,SH Shoot WAR,SH TOI,SHD WAR,Take WAR,TOI,WAR
JOEL ERIKSSON EKF,JOEL ERIKSSON EK,F,mistake,MIN,0.317169606,-0.190407909,691.483333333,0.322508266,0.463359995,0.522072051,0.891753700,156.216666667,0.168377924,20212022,-0.060579587,119.8,-0.029631439,0.204902445,967.5,2.087453000
NICK SCHMALTZF,NICK SCHMALTZ,F,mistake,ARI,-0.188085767,1.369556710,618.016666667,-0.235096883,0.615566589,0.137965168,0.045166209,90.416666667,0.088866381,20212022,0,6.816666667,0.002994860,0.326050936,715.25,2.025019034
NATHAN MACKINNONF,NATHAN MACKINNON,F,mistake,COL,0.555016735,0.652729353,770.833333333,-0.189723921,0.623967133,0.746292864,-0.050584721,169.25,0.230998048,20212022,-0.000390587,3.116666667,0.000323440,0.191276129,943.200000000,2.013611609
STEVEN STAMKOSF,STEVEN STAMKOS,F,mistake,T.B,-0.453598737,1.528926291,828.150000000,0.063985363,0.401003143,-0.261798565,0.322297903,223.75,0.013851719,20212022,0,26.033333333,-0.064030397,0.191800172,1077.933333333,2.004235456
ANTHONY CIRELLIF,ANTHONY CIRELLI,F,mistake,T.B,0.305758738,0.157244342,822.200000000,0.744195101,0.198781367,0.660773950,0.234496616,93.650000000,0.104829227,20212022,-0.078393246,118.650000000,-0.024544805,0.355015212,1034.500000000,1.997382551
JACCOB SLAVIND,JACCOB SLAVIN,D,mistake,CAR,-0.115468185,-0.450187428,1093.783333333,0.529655481,0.796848246,0.415896858,0.047540772,88.583333333,0.096499564,20212022,-0.046909586,200.716666667,0.605354779,0.531365044,1383.083333333,1.994698686
JONATHAN HUBERDEAUF,JONATHAN HUBERDEAU,F,mistake,FLA,0.035332781,0.704521480,810.7,-0.289279779,0.761120840,0.378395265,6.162647648e-06,222.333333333,0.178392186,20212022,0.187898896,113.95,0.073601410,0.343062484,1146.983333333,1.994656462
NICK SUZUKIF,NICK SUZUKI,F,mistake,MTL,0.052437409,0.212450523,939.983333333,0.489824583,-0.229078873,0.442677974,0.733020992,193.433333333,0.380661546,20212022,0.013541390,97.7,-0.050647325,0.390240566,1231.116666667,1.992450811
DYLAN STROMEF,DYLAN STROME,F,mistake,CHI,-0.118566926,1.001190322,676.633333333,0.038312517,0.458645080,-0.084207713,0.560444693,119.216666667,0.009058849,20212022,0,1.316666667,0.000123968,0.034359213,797.166666667,1.983567717
SEBASTIAN AHOF,SEBASTIAN AHO,F,mistake,CAR,0.144832219,-0.225266535,783.933333333,-0.174447692,0.763304050,0.188491944,0.923492285,183.983333333,0.516340191,20212022,-0.243498517,113.433333333,0.212509205,0.043659725,1081.35,1.960924931
SIDNEY CROSBYF,SIDNEY CROSBY,F,mistake,PIT,-0.132220400,0.075470536,795.166666667,-0.037819433,1.035560187,0.048072082,0.337255701,166.966666667,0.494593420,20212022,0,3.883333333,0.001114979,0.180292481,966.016666667,1.954247471
SAM REINHARTF,SAM REINHART,F,mistake,FLA,-0.150418914,0.038602099,784.166666667,0.279344247,0.352960360,0.260652307,0.707647432,190.233333333,0.352166067,20212022,-0.012245691,26.266666667,-0.035984682,0.411071222,1000.666666667,1.943142140
MARK SCHEIFELEF,MARK SCHEIFELE,F,mistake,WPG,0.024081169,1.136293824,974.333333333,-1.331526832,0.717006571,0.459545851,0.574751041,198.783333333,0.357550308,20212022,0,4.85,0.001117184,0.435464682,1177.966666667,1.914737947
EVGENY KUZNETSOVF,EVGENY KUZNETSOV,F,mistake,WSH,0.070681368,0.652495517,932.283333333,-0.060248481,0.315678778,0.268538353,0.268809634,224.316666667,0.122430376,20212022,0.338039514,65.933333333,0.008424723,0.197856985,1222.533333333,1.914168414
MIKE MATHESOND,MIKE MATHESON,D,mistake,PIT,0.131519606,0.696489894,951,0.337172737,0.510301188,0.420740131,-0.048080919,23.866666667,-0.009339467,20212022,-0.000927446,14.55,0.004904319,0.289220525,989.416666667,1.911260438
NINO NIEDERREITERF,NINO NIEDERREITER,F,mistake,CAR,-0.001359046,0.420264844,708.8,-0.176314074,1.006483157,0.253103338,0.414147122,79.116666667,-0.012894111,20212022,0,0.366666667,-4.576840442e-05,0.254462384,788.283333333,1.904744508
NOAH DOBSOND,NOAH DOBSON,D,mistake,NYI,0.306258888,0.605526920,1008.833333333,0.146003241,0.123572049,0.776790660,0.072504036,153.716666667,0.143792385,20212022,-0.000654910,31.333333333,0.028447571,0.470531773,1193.883333333,1.895981952
NICO HISCHIERF,NICO HISCHIER,F,mistake,N.J,-0.207537443,0.924113117,740.766666667,0.054210027,0.577374394,0.221926165,-0.009847033,141.55,0.253425064,20212022,-0.082197109,84.25,-0.104474288,0.429463608,966.566666667,1.834530337
LOGAN COUTUREF,LOGAN COUTURE,F,mistake,S.J,-0.035928006,0.516173016,816.200000000,-0.281330455,0.731333657,0.225545145,0.159066006,151.083333333,0.276400177,20212022,0.271293902,101.1,-0.073731881,0.261473151,1068.383333333,1.824749567
PATRIK LAINEF,PATRIK LAINE,F,mistake,CBJ,-0.190592655,2.241164593,644.733333333,-0.464194166,0.043427767,-0.009382729,0.041536413,144.666666667,-0.027505666,20212022,-0.002304827,2.05,0.000714548,0.181209926,791.450000000,1.823455935
DMITRY ORLOVD,DMITRY ORLOV,D,mistake,WSH,0.108658789,0.836029823,1126.383333333,0.453245179,0.179143872,0.075166762,0.213419777,59.833333333,-0.056318445,20212022,-0.009390223,48.4,0.110930637,-0.033492027,1234.616666667,1.802227381
PHILLIP DANAULTF,PHILLIP DANAULT,F,mistake,L.A,-0.303052186,1.078025980,862.25,-0.156385148,1.602827909,-0.159331741,-0.590847083,115.233333333,0.172488807,20212022,-0.068215294,99.516666667,-0.094068347,0.143720444,1077,1.784495083
JOHN CARLSOND,JOHN CARLSON,D,mistake,WSH,-0.040776518,0.136905925,1040.9,0.417806158,0.419701132,0.378756661,0.376065431,239.166666667,-0.014472874,20212022,-0.005154757,104.383333333,0.055210398,0.419533179,1384.45,1.764818073
RASMUS SANDIND,RASMUS SANDIN,D,mistake,TOR,-0.024090549,0.500610905,787.666666667,0.247945333,0.753883594,0.347715468,-0.064178085,69.083333333,-0.023932308,20212022,0,2.866666667,0.001421205,0.371806017,859.616666667,1.763466113
JESPER FASTF,JESPER FAST,F,mistake,CAR,-0.393126209,0.612994632,769.466666667,0.343929319,0.399609089,0.069196895,0.168218339,22.116666667,-0.006444889,20212022,-0.108899967,99.783333333,0.279198345,0.462323105,891.366666667,1.757801763
MARCUS FOLIGNOF,MARCUS FOLIGNO,F,mistake,MIN,-0.321774499,0.977009648,688.900000000,0.571604090,0.189281294,-0.343209274,0.593869296,98.983333333,-0.173680147,20212022,-0.001092434,110.483333333,-0.058065491,-0.021434775,898.366666667,1.755716980
RYAN HARTMANF,RYAN HARTMAN,F,mistake,MIN,0.012510443,2.190562814,844.400000000,-0.326965866,0.528900989,-0.150335061,-0.358341653,123.050000000,0.032098795,20212022,-0.051878376,80.133333333,-0.115746739,-0.162845505,1047.583333333,1.748294903
ARTTURI LEHKONENF,ARTTURI LEHKONEN,F,mistake,MTL,-0.178901374,0.117507856,676.45,0.529157524,0.793769487,0.067393033,0.094178488,39.25,-0.004650925,20212022,0.237309689,124.916666667,-0.103158070,0.246294408,840.616666667,1.731507082
NOAH HANIFIND,NOAH HANIFIN,D,mistake,CGY,-0.060776183,0.109261699,1046.1,0.524508249,0.419801983,0.367813085,-0.143390627,103.583333333,0.224814972,20212022,-0.015674328,107.85,0.231621685,0.428589268,1257.533333333,1.718756718
MASON MARCHMENTF,MASON MARCHMENT,F,mistake,FLA,0.263143883,0.751683062,471.833333333,0.356512736,0.356211902,0.092762895,0.078907264,25.716666667,0.048627403,20212022,0,1.4,-0.001201529,-0.170380988,498.950000000,1.683503733
TRAVIS SANHEIMD,TRAVIS SANHEIM,D,mistake,PHI,-0.063541599,0.122731055,1187.45,0.601619805,0.852223303,0.249827003,-0.005637881,20.383333333,-0.028139749,20212022,-0.065010873,116.716666667,-0.053152802,0.313368601,1324.55,1.674459861
LUCAS RAYMONDF,LUCAS RAYMOND,F,mistake,DET,-0.161714310,0.786211043,922.3,-0.274473298,0.351219020,0.226441448,0.379406157,170.216666667,0.174353314,20212022,-0.032275337,1.083333333,-0.000116614,0.388155758,1093.6,1.610765733
PIERRE-LUC DUBOISF,PIERRE-LUC DUBOIS,F,mistake,WPG,0.455436982,-0.934883934,937.933333333,-0.241722553,1.055947865,0.166542508,1.124028878,193.433333333,0.439030603,20212022,0,1.433333333,-0.000261742,-0.288894474,1132.800000000,1.608681625
RYAN O'REILLYF,RYAN O'REILLY,F,mistake,STL,0.132326864,0.058783422,782.316666667,0.634161244,-0.008576724,0.599454432,0.180506606,140.266666667,0.255589292,20212022,-0.070437923,111.15,-0.043362913,0.467127568,1033.733333333,1.606117435
SONNY MILANOF,SONNY MILANO,F,mistake,ANA,-0.251921614,0.135559518,655.216666667,0.333227866,0.457755622,0.102232430,0.502003665,110.016666667,0.059212899,20212022,0,0.133333333,-2.113483518e-05,0.354154044,765.366666667,1.589970866
SHAYNE GOSTISBEHERED,SHAYNE GOSTISBEHERE,D,mistake,ARI,0.310950892,0.980372369,1107.683333333,-0.385663177,0.241564259,0.663202406,-0.081198644,172.75,0.138118588,20212022,-0.007770842,46.75,0.039991367,0.352251513,1327.183333333,1.588616327
CONOR GARLANDF,CONOR GARLAND,F,mistake,VAN,0.413696366,0.488734583,824.7,0.088719234,0.389824579,0.708187558,-0.012048637,98.85,-0.084670766,20212022,0,3.016666667,0.000579585,0.294491192,926.566666667,1.579326136
DRAKE BATHERSONF,DRAKE BATHERSON,F,mistake,OTT,-0.071291280,1.086473721,467.5,-0.088318797,0.403645086,-0.092484744,0.088644842,96.15,0.142945614,20212022,0,0.650000000,-1.259285277e-06,-0.021193464,564.3,1.540904463
