Player + Season,Player,Rights,Position,Leagues,Teams,Season ,Draft Year,Age,DY-1 NHLe,NHLe,Star %,Make %
https://www.eliteprospects.com/player/727216/nicholas-nobleNicholas Noble2022,Nicholas Noble,Unsigned,F,naphl-18u,Colorado Springs Tigers 18U AAA,2022,0,17.4,,3.74,0.11%,0.21%
https://www.eliteprospects.com/player/562460/edward-pazoEdward Pazo2022,Edward Pazo,Unsigned,F,nahl,totals,2022,1,18.97,3.37,0,0.11%,0.19%
https://www.eliteprospects.com/player/720704/dylan-levinDylan Levin2022,Dylan Levin,Unsigned,F,naphl-18u,Lake County Vipers 18U AA,2022,0,17.08,,2.27,0.11%,0.94%
https://www.eliteprospects.com/player/519795/maxim-yerofeyevMaxim Yerofeyev2022,Maxim Yerofeyev,Unsigned,F,nmhl,HK Bryansk,2022,3,20.03,3.07,6.58,0.11%,0.16%
https://www.eliteprospects.com/player/708740/brent-scottBrent Scott2022,Brent Scott,Unsigned,D,usphl-premier,Minnesota Mullets,2022,2,19.19,,1.34,0.11%,0.15%
https://www.eliteprospects.com/player/311287/jake-griciusJake Gricius2022,Jake Gricius,Unsigned,F,usports,Univ. of Calgary,2022,4,21.93,2.28,4.26,0.11%,0.52%
https://www.eliteprospects.com/player/420413/martin-erikssonMartin Eriksson2022,Martin Eriksson,Unsigned,D,"division-2, j20-elit","IFK Hallsberg, IFK Hallsberg J20",2022,2,19.24,0.44,0.49,0.11%,0.06%
https://www.eliteprospects.com/player/339133/maximilian-hopsMaximilian Hops2022,Maximilian Hops,Unsigned,F,"germany3, del2","EV Fussen, ESV Kaufbeuren",2022,1,19,,3.81,0.11%,0.12%
https://www.eliteprospects.com/player/469411/ludvig-nilssonLudvig Nilsson2022,Ludvig Nilsson,Unsigned,F,"division-1, j20-elit, allsvenskan","Tegs SK, IF Bjorkloven J20, IF Bjorkloven",2022,2,19.59,1.61,2.59,0.11%,0.18%
https://www.eliteprospects.com/player/503358/philippe-hebertPhilippe Hebert2022,Philippe Hebert,Unsigned,D,usphl-premier,Islanders Hockey Club,2022,2,19.15,0.81,0.86,0.11%,0.08%
https://www.eliteprospects.com/player/587638/lucas-lidstromLucas Lidstrom2022,Lucas Lidstrom,Unsigned,D,"division-2, superelit","Hallstahammars HK, Vasteras IK J20",2022,1,18.02,0.67,0.55,0.11%,0.06%
https://www.eliteprospects.com/player/647533/reilley-kotaiReilley Kotai2022,Reilley Kotai,Unsigned,F,pijhl,Chilliwack Jets,2022,0,17.08,,2.38,0.11%,0.66%
https://www.eliteprospects.com/player/509870/john-blankJohn Blank2022,John Blank,Unsigned,F,"division-1, j20-elit","Borlange HF, Borlange HF J20",2022,1,18.52,1,2.24,0.11%,0.29%
https://www.eliteprospects.com/player/418151/spencer-schneiderSpencer Schneider2022,Spencer Schneider,Unsigned,F,ncaa,Bowling Green State Univ.,2022,4,21.01,1.66,2.98,0.11%,0.30%
https://www.eliteprospects.com/player/277058/sami-moilanenSami Moilanen2022,Sami Moilanen,Unsigned,F,liiga,Tappara,2022,5,22.65,5.55,5.57,0.11%,0.21%
https://www.eliteprospects.com/player/335685/jeremie-buchelerJeremie Bucheler2022,Jeremie Bucheler,Unsigned,D,ncaa,Northeastern Univ.,2022,4,21.46,1.86,4.99,0.11%,1.17%
https://www.eliteprospects.com/player/349387/emil-hedstromEmil Hedstrom2022,Emil Hedstrom,Unsigned,D,division-1,Huddinge IK,2022,3,20.44,0.72,1.74,0.11%,0.09%
